row_id,lane,clause,anchor,binding,code_ref,test_ref,verdict,evidence,finding_id,reviewer,date
P-01,F,Stud neck diameter = 25 mm [ASSUMED],PHASE1_PARAMETERS #1 (src: D-016),,,,,,,,
P-02,F,Stud head diameter = 40 mm [ASSUMED],PHASE1_PARAMETERS #2 (src: D-016),,,,,,,,
P-03,F,Stud exposed length = 90 mm [ASSUMED],PHASE1_PARAMETERS #3 (src: D-016),,,,,,,,
P-04,F,Funnel mouth diameter = 220 mm [derived],PHASE1_PARAMETERS #4 (src: IS §6),,,,,,,,
P-05,F,Funnel throat diameter = 42 mm,PHASE1_PARAMETERS #5 (src: D-016),,,,,,,,
P-06,F,Funnel depth = 180 mm,PHASE1_PARAMETERS #6 (src: D-016),,,,,,,,
P-07,F,Funnel wall half-angle = ≈26° [derived],PHASE1_PARAMETERS #7 (src: IS §6),,,,,,,,
P-08,F,Plate envelope = 200 × 200 mm,PHASE1_PARAMETERS #8 (src: D-016),,,,,,,,
P-09,F,"Outer tag: size, center = 150 mm at (0, 0, +185) mm stud_frame","PHASE1_PARAMETERS #9 (src: IS §3.2, §3.5)",,,,,,,,
P-10,F,"Inner ring = 8 × 10 mm tags, r = 55 mm, 45° pitch","PHASE1_PARAMETERS #10 (src: IS §3.3, §3.5)",,,,,,,,
P-11,F,"Collar standoff h_c (layout L-B) = swept [10, 40] mm; observability floor ~8 mm [derived]",PHASE1_PARAMETERS #11 (src: D-016; studies/H08 §3),,,,,,,,
P-12,F,"Funnel lip band = radial [110, 125] mm",PHASE1_PARAMETERS #12 (src: IS §6),,,,,,,,
P-13,F,Contact-physics annulus radius = 160 mm [derived],PHASE1_PARAMETERS #13 (src: IS §6),,,,,,,,
P-14,F,Capture plane = head_frame YZ at x = 0,PHASE1_PARAMETERS #14 (src: IS §6),,,,,,,,
P-15,F,Kinematic→contact handoff trigger = stud-head center at x = +50 mm,"PHASE1_PARAMETERS #15 (src: IS §6, D-006)",,,,,,,,
P-16,F,"T_stud_plate = (0, 0, +185) mm, identity rotation",PHASE1_PARAMETERS #16 (src: IS §4),,,,,,,,
P-17,F,"Cam A extrinsic = (−50, 0, +140) mm, boresight ∥ +X [ASSUMED]","PHASE1_PARAMETERS #17 (src: IS §4, D-012)",,,,,,,,
P-18,F,"Cam B extrinsic = (+100, −250, 0) mm, yaw 30° [translations ASSUMED; angle D-…","PHASE1_PARAMETERS #18 (src: IS §4, D-025)",,,,,,,,
P-19,F,"f_A (focal, px) = ≈1371 px [derived: 1920/(2·tan 35°)]",PHASE1_PARAMETERS #19 (src: D-012),,,,,,,,
P-20,F,"f_B (focal, px) = ≈880 px [derived: 1920/(2·tan 47.5°)]",PHASE1_PARAMETERS #20 (src: D-012),,,,,,,,
P-21,F,"Capture envelope, position = ±35 mm [ASSUMED]",PHASE1_PARAMETERS #21 (src: D-015),,,,,,,,
P-22,F,"Capture envelope, angle = ±10° [ASSUMED]",PHASE1_PARAMETERS #22 (src: D-015),,,,,,,,
P-23,F,"Budget allocations (percep/chassis/mount) = 15/25/3 mm, 3/6/1° — sweep centers ×{0.5, 1, 2}","PHASE1_PARAMETERS #23 (src: IS §5, D-019)",,,,,,,,
P-24,F,"Approach/tow sector = ±20° cone about stud +X, normative",PHASE1_PARAMETERS #24 (src: D-018),,,,,,,,
P-25,F,Stage boundaries = outer servo 3 m → 200 mm; inner servo 200 mm → contact,PHASE1_PARAMETERS #25 (src: D-004),,,,,,,,
P-26,F,Stage speeds = swept: 0.5–2.0 / 0.1–0.3 / 0.02–0.15 m/s (defaults 1.0/0.2/…,PHASE1_PARAMETERS #26 (src: IS §9.1),,,,,,,,
P-27,F,"attempts-per-encounter = {1, 2, 3, 5}, default 3 (arbitrary)","PHASE1_PARAMETERS #27 (src: IS §9.1, D-005)",,,,,,,,
P-28,F,Retry back-out distance = 300 mm,PHASE1_PARAMETERS #28 (src: D-005),,,,,,,,
P-29,F,"conf_min_attempt = swept {0.50–0.95}, default 0.85 (arbitrary); tradeoff curve…",PHASE1_PARAMETERS #29 (src: D-017),,,,,,,,
P-30,F,Insertion commit rule = pose_source = multi_tag_fused (≥2 tags) ∧ stage = inner_ser…,PHASE1_PARAMETERS #30 (src: WIRE_FORMAT; studies/H08),,,,,,,,
P-31,F,"Contact friction **μ_contact** (stud/funnel interface — dis… = swept 0.1–0.8, default 0.4 (arbitrary)",PHASE1_PARAMETERS #31 (src: IS §9.1),,,,,,,,
P-32,F,"Restitution e = swept 0.1–0.4, default 0.2 (arbitrary)",PHASE1_PARAMETERS #32 (src: IS §9.1),,,,,,,,
P-33,F,Solver timestep/stiffness (numerical) = set by recorded convergence procedure: halve timestep until…,PHASE1_PARAMETERS #33 (src: HOLES H-03),,,,,,,,
P-34,F,Compliance topology = T1 — rigid steel funnel on compliant instrumented base; rig…,PHASE1_PARAMETERS #34 (src: D-027),,,,,,,,
P-35,F,"Compliance stiffness k = swept log grid {1, 3, 10, 30, 70} N/mm over the derived env…",PHASE1_PARAMETERS #35 (src: D-026; studies/H04 §4),,,,,,,,
P-36,F,"Head effective mass M_eff = swept {8, 15, 30} kg class range",PHASE1_PARAMETERS #36 (src: D-026),,,,,,,,
P-37,F,"Perception rate = {10, 30, 60} Hz, default 30",PHASE1_PARAMETERS #37 (src: IS §9.1),,,,,,,,
P-38,F,"Perception latency = {10, 30, 100} ms, default 30",PHASE1_PARAMETERS #38 (src: IS §9.1),,,,,,,,
P-39,F,Detection-probability model = Literature anchors per `research/data/perception_prior.md`*…,PHASE1_PARAMETERS #39 (src: perception_prior.md; D-008-R),,,,,,,,
P-40,F,Pose covariance = Generated from **swept corner-noise class value σ_px ∈ {0.3…,PHASE1_PARAMETERS #40 (src: perception_prior.md; MEASUREMENT_REQUES…),,,,,,,,
P-41,F,"Mud model = P_mask(f)·max(0, 1−f/f_c), f_c ∈ {0.6, 0.8, 1.0}",PHASE1_PARAMETERS #41 (src: D-023),,,,,,,,
P-42,F,"Flip model = studies/H08 §4; κ ∈ {0.5, 1, 2}",PHASE1_PARAMETERS #42 (src: studies/H08),,,,,,,,
P-43,F,"Dropout = Bernoulli p ∈ {0, .05, .1, .2, .3} + burst (geometric, mean…",PHASE1_PARAMETERS #43 (src: IS §9),,,,,,,,
P-44,F,Lens contamination (Cam B) = 0–50% aperture area,PHASE1_PARAMETERS #44 (src: IS §9),,,,,,,,
